rank,player,Team,AVG,year
1,백인천,MBC,0.412,1982
2,윤동균,OB,0.342,1982
3,장태수,SAM,0.336,1982
4,신경식,OB,0.334,1982
5,김봉연,HAE,0.331,1982
6,이종도,MBC,0.324,1982
7,이광은,MBC,0.313,1982
8,김우열,OB,0.310,1982
9,구천서,OB,0.308,1982
10,김성한,HAE,0.305,1982
11,김준환,HAE,0.301,1982
12,김용철,LOT,0.300,1982
13,김종모,HAE,0.291,1982
14,이만수,SAM,0.289,1982
15,김용희,LOT,0.284,1982
16,조흥운,SMM,0.284,1982
17,오대석,SAM,0.283,1982
18,김성관,LOT,0.275,1982
19,김정수,LOT,0.274,1982
19,정학수,LOT,0.274,1982
21,금광옥,SMM,0.270,1982
22,김일권,HAE,0.270,1982
23,김경남,SMM,0.269,1982
24,양세종,OB,0.269,1982
25,양승관,SMM,0.269,1982
26,송영운,MBC,0.262,1982
27,함학수,SAM,0.261,1982
28,김인식,MBC,0.259,1982
29,차영화,HAE,0.259,1982
30,유지훤,OB,0.252,1982
31,신언호,MBC,0.240,1982
32,장정기,SMM,0.234,1982
33,조충열,HAE,0.231,1982
34,배대웅,SAM,0.230,1982
35,정영기,MBC,0.228,1982
36,권두조,LOT,0.223,1982
37,김무관,SMM,0.217,1982
1,장효조,SAM,0.369,1983
2,김종모,HAE,0.350,1983
3,김성한,HAE,0.327,1983
4,박종훈,OB,0.312,1983
5,유두열,LOT,0.307,1983
6,양승관,SMM,0.302,1983
7,이종도,MBC,0.296,1983
8,이만수,SAM,0.294,1983
9,이해창,MBC,0.294,1983
10,김우열,OB,0.291,1983
11,김재박,MBC,0.290,1983
12,박용성,LOT,0.287,1983
13,김용철,LOT,0.281,1983
14,김봉연,HAE,0.280,1983
15,정학수,LOT,0.279,1983
16,이영구,SMM,0.277,1983
17,김대진,SMM,0.277,1983
18,김일권,HAE,0.275,1983
19,김용희,LOT,0.275,1983
20,윤동균,OB,0.275,1983
21,한대화,OB,0.272,1983
22,김근석,SAM,0.271,1983
23,이광은,MBC,0.271,1983
24,신경식,OB,0.268,1983
25,김인식,MBC,0.263,1983
26,김무종,HAE,0.262,1983
27,함학수,SAM,0.261,1983
28,서정환,HAE,0.257,1983
29,정구선,SMM,0.256,1983
30,김진우,SMM,0.253,1983
31,김준환,HAE,0.248,1983
32,김정수,MBC,0.240,1983
33,이선웅,SMM,0.223,1983
1,이만수,SAM,0.340,1984
2,홍문종,LOT,0.339,1984
3,김용철,LOT,0.327,1984
4,장효조,SAM,0.324,1984
5,김종모,HAE,0.316,1984
6,박종훈,OB,0.306,1984
7,양세종,OB,0.301,1984
8,김재박,MBC,0.300,1984
