NAME,YEAR,TEAM,G,ABA,AB,R,H,_2B,_3B,HR,TB,RBI,BB,IBB,HBP,SO,SH,SF,SB,CS,GIDP,E,AVG,SLG,OBP,OPS,SBR,pos3,pos4,pos5,pos6,pos2,pos8
가르시아,2010,LOT,118,485,429,73,108,16,1,26,204,83,49,1,2,123,0,5,3,0,4,5,0.252,0.476,0.328,0.804,1,,,,,,118
가르시아,2011,HAN,72,292,268,37,66,12,0,18,132,61,24,1,0,55,0,0,1,5,5,5,0.246,0.493,0.308,0.801,0.167,,,,,,54
가코,2011,SAM,58,220,189,21,46,8,0,1,57,28,22,0,5,34,0,4,0,1,12,1,0.243,0.302,0.332,0.634,0,16,,,,,
강경학,2011,HAN,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,2,,,
강경학,2014,HAN,41,103,86,11,19,2,3,1,30,7,13,0,2,28,2,0,0,0,1,6,0.221,0.349,0.337,0.686,,,1,,40,,
강구성,2013,NC,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1
강귀태,2010,NEX,97,300,269,24,62,9,0,3,80,34,17,0,2,31,9,3,0,2,13,6,0.23,0.297,0.278,0.575,0,,,,,91,
강귀태,2011,NEX,33,89,81,4,19,4,1,1,28,10,5,1,0,11,2,1,1,0,4,0,0.235,0.346,0.276,0.622,1,,,,,33,
강귀태,2012,NEX,12,21,19,2,4,0,0,0,4,1,0,0,1,4,1,0,0,0,0,0,0.211,0.211,0.25,0.461,,,,,,10,
강동우,2010,HAN,98,363,309,45,78,8,1,4,100,22,43,0,1,33,6,3,14,6,10,1,0.252,0.324,0.343,0.667,0.7,,,,,,95
강동우,2011,HAN,133,599,518,83,149,13,3,13,207,51,62,1,2,71,12,4,17,15,9,0,0.288,0.4,0.363,0.763,0.531,,,,,,131
강동우,2012,HAN,76,290,257,35,65,16,1,2,89,22,26,0,0,21,5,2,1,2,5,0,0.253,0.346,0.319,0.665,0.333,,,,,,69
강동우,2013,HAN,26,60,52,4,11,1,1,0,14,3,7,0,0,7,0,1,0,0,1,0,0.212,0.269,0.3,0.569,,,,,,,16
강명구,2010,SAM,55,70,63,17,17,5,0,0,22,9,2,1,1,10,4,0,7,3,3,6,0.27,0.349,0.303,0.652,0.7,,24,3,5,,5
강명구,2011,SAM,89,66,58,22,10,1,0,1,14,5,5,0,0,16,2,1,19,4,0,3,0.172,0.241,0.234,0.475,0.826,,32,13,15,,
강명구,2012,SAM,72,11,10,16,1,0,0,0,1,0,1,0,0,1,0,0,15,3,1,2,0.1,0.1,0.182,0.282,0.833,,24,5,2,,
강명구,2013,SAM,55,63,58,22,11,0,1,0,13,6,4,0,1,4,0,0,11,1,4,1,0.19,0.224,0.254,0.478,0.917,,28,1,3,,1
강명구,2014,SAM,21,4,4,8,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0.75,,7,1,3,,
강민국,2014,NC,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,4,,
