date,team,start_pitcher,X1,X2,X3,X4,X5,X6,X7,X8,X9
2015-03-28,KIA,양현종,김주찬,강한울,필,나지완,최희섭,이범호,김원섭,최용규,이성우
2015-03-29,KIA,험버,김원섭,최용규,필,나지완,최희섭,이범호,김다원,강한울,이성우
2015-04-01,KIA,스틴슨,김원섭,최용규,필,나지완,최희섭,이범호,김다원,강한울,이성우
2015-04-03,KIA,양현종,김원섭,최용규,필,나지완,최희섭,이범호,김다원,이성우,강한울
2015-04-04,KIA,험버,김원섭,최용규,필,나지완,최희섭,이범호,김다원,이성우,강한울
2015-04-05,KIA,문경찬,김원섭,최용규,최희섭,나지완,이범호,김다원,이종환,강한울,이홍구
2015-04-07,KIA,스틴슨,김원섭,최용규,필,나지완,최희섭,이범호,김다원,강한울,이성우
2015-04-08,KIA,임기준,김원섭,최용규,필,나지완,최희섭,이범호,김다원,강한울,이홍구
2015-04-09,KIA,양현종,최용규,필,나지완,최희섭,이범호,김다원,이호신,강한울,이성우
2015-04-10,KIA,험버,김주찬,최용규,필,나지완,최희섭,이범호,김다원,강한울,이성우
2015-04-11,KIA,문경찬,김주찬,최용규,필,나지완,이범호,김다원,박기남,이홍구,강한울
2015-04-12,KIA,스틴슨,김주찬,박기남,필,나지완,이범호,김다원,최용규,이성우,강한울
2015-04-15,KIA,양현종,김주찬,강한울,필,나지완,최희섭,이범호,김다원,이성우,최용규
2015-04-16,KIA,임기준,김주찬,김다원,필,나지완,최희섭,이범호,최용규,강한울,이성우
2015-04-17,KIA,험버,김주찬,강한울,필,나지완,최희섭,이범호,김다원,이성우,최용규
2015-04-18,KIA,스틴슨,최용규,김다원,김주찬,필,나지완,최희섭,이범호,이성우,강한울
2015-04-19,KIA,문경찬,최용규,김다원,필,나지완,최희섭,이범호,이홍구,이호신,최병연
2015-04-21,KIA,양현종,김주찬,최용규,필,나지완,최희섭,이범호,김다원,차일목,강한울
2015-04-22,KIA,험버,이호신,강한울,필,나지완,최희섭,이범호,김다원,이성우,최용규
2015-04-23,KIA,스틴슨,김호령,강한울,필,나지완,이범호,김다원,최용규,차일목,이호신
2015-04-24,KIA,문경찬,김호령,최용규,필,나지완,이범호,김다원,박기남,차일목,강한울
2015-04-25,KIA,서재응,김호령,강한울,필,나지완,이범호,김다원,박기남,차일목,이호신
2015-04-26,KIA,홍건희,이호신,강한울,필,나지완,이범호,김다원,박기남,이성우,최용규
2015-04-29,KIA,험버,강한울,최용규,필,나지완,최희섭,이범호,김다원,이성우,이호신
2015-04-30,KIA,양현종,강한울,박기남,필,최희섭,이범호,김다원,김호령,차일목,이호신
2015-05-01,KIA,스틴슨,김호령,최용규,필,이범호,김다원,나지완,박기남,이성우,강한울
2015-05-02,KIA,서재응,김호령,강한울,필,최희섭,이범호,김다원,박기남,차일목,이은총
2015-05-05,KIA,험버,신종길,김다원,필,최희섭,이범호,나지완,최용규,차일목,강한울
2015-05-06,KIA,양현종,이은총,오준혁,필,최희섭,이범호,최용규,노수광,이성우,강한울
2015-05-07,KIA,스틴슨,이은총,오준혁,필,최희섭,이범호,박기남,이홍구,노수광,강한울
2015-05-08,KIA,홍건희,이은총,최용규,필,이범호,이홍구,박기남,김민우,김호령,강한울
2015-05-09,KIA,서재응,이은총,강한울,필,최희섭,이범호,김원섭,박기남,이성우,오준혁
2015-05-10,KIA,험버,이은총,강한울,필,최희섭,이범호,김원섭,이홍구,오준혁,박기남
2015-05-12,KIA,양현종,김원섭,강한울,필,최희섭,이범호,이홍구,김호령,박찬호,이은총
2015-05-13,KIA,스틴슨,김원섭,강한울,필,최희섭,이범호,김민우,이홍구,김호령,이은총
2015-05-14,KIA,임준혁,김원섭,강한울,김주찬,필,이범호,최희섭,김민우,이홍구,김호령
2015-05-16,KIA,험버,김원섭,김호령,김주찬,필,나지완,이범호,김민우,이홍구,강한울
2015-05-17,KIA,양현종,김원섭,김호령,김주찬,필,이범호,김민우,나지완,박찬호,이성우
2015-05-19,KIA,스틴슨,김민우,김호령,김주찬,필,이범호,나지완,김다원,이홍구,강한울
2015-05-20,KIA,임준혁,김원섭,김민우,김주찬,필,최희섭,이범호,이홍구,박준태,강한울
2015-05-21,KIA,김병현,김원섭,김호령,김주찬,필,최희섭,이범호,김민우,이성우,강한울
2015-05-22,KIA,유창식,김원섭,김호령,김주찬,필,최희섭,김민우,이홍구,박찬호,강한울
2015-05-23,KIA,양현종,김민우,김다원,김주찬,필,이범호,나지완,김호령,이성우,강한울
2015-05-24,KIA,스틴슨,김원섭,신종길,김주찬,필,최희섭,이범호,김민우,이홍구,강한울
2015-05-26,KIA,임준혁,신종길,김민우,김주찬,필,최희섭,이범호,김원섭,이홍구,강한울
2015-05-27,KIA,김병현,신종길,김민우,김원섭,필,최희섭,이범호,박준태,이성우,강한울
2015-05-28,KIA,유창식,김원섭,신종길,김주찬,필,김다원,김민우,박기남,이성우,강한울
2015-05-29,KIA,양현종,신종길,강한울,김주찬,필,김원섭,김민우,박기남,이성우,박준태
2015-05-30,KIA,스틴슨,신종길,강한울,김주찬,필,김원섭,이범호,김민우,이홍구,김호령
2015-05-31,KIA,임준혁,신종길,김호령,김주찬,필,이범호,김주형,최용규,이홍구,강한울
2015-06-02,KIA,서재응,신종길,강한울,김주찬,필,이범호,김원섭,최용규,이성우,김호령
2015-06-03,KIA,유창식,신종길,김민우,김주찬,필,이범호,김다원,이홍구,최용규,김호령
2015-06-04,KIA,양현종,신종길,김호령,김주찬,필,이범호,김민우,김주형,이성우,강한울
2015-06-06,KIA,스틴슨,신종길,김호령,김주찬,필,이범호,김다원,박기남,이홍구,강한울
2015-06-07,KIA,김병현,김원섭,김호령,김주찬,필,나지완,이범호,최용규,이홍구,강한울
2015-06-09,KIA,험버,신종길,김원섭,김주찬,필,이범호,최용규,박준태,강한울,이성우
2015-06-10,KIA,양현종,나지완,김다원,김주찬,필,김주형,최용규,김호령,이성우,강한울
