name,year,team,TBF,IP,HA,HRA,BBA,HBPA,SOA,RA,ER,ERA,WHIP,SOAPER,BBAPER,LOBPER
가득염,2010,SK,60,16.333,14,1,10,0,12,9,8,4.41,1.47,1.333,1.111,0.708
강동연,2013,두산,7,2,1,0,0,0,1,1,0,0,0.5,0.111,0,1
강동연,2014,두산,8,1,5,1,0,0,3,3,3,27,5,0.333,0,0.556
강승현,2013,롯데,8,2,3,0,1,0,2,3,2,9,2,0.222,0.111,0.5
강승현,2014,롯데,34,5.667,18,2,2,0,3,19,16,25.41,3.53,0.333,0.222,0.233
강영식,2010,롯데,199,52.667,50,6,24,1,58,28,26,4.44,1.41,6.444,2.667,0.736
강영식,2011,롯데,150,41,35,5,22,2,39,16,16,3.51,1.39,4.333,2.444,0.827
강영식,2012,롯데,159,41.667,41,2,19,0,49,19,18,3.89,1.44,5.444,2.111,0.734
강영식,2013,롯데,141,39.667,32,1,19,2,40,17,17,3.86,1.29,4.444,2.111,0.698
강영식,2014,롯데,173,47,46,4,24,2,42,25,25,4.79,1.49,4.667,2.667,0.708
강윤구,2010,넥센,56,15,15,2,13,1,11,13,12,7.2,1.87,1.222,1.444,0.649
강윤구,2011,넥센,69,21,15,0,11,0,11,5,5,2.14,1.24,1.222,1.222,0.808
강윤구,2012,넥센,433,125.667,89,14,74,7,127,58,57,4.08,1.3,14.111,8.222,0.751
강윤구,2013,넥센,470,130,112,6,75,8,131,69,63,4.36,1.44,14.556,8.333,0.707
강윤구,2014,넥센,177,42,60,17,32,1,36,43,36,7.71,2.19,4,3.556,0.824
강철민,2010,LG,39,11.667,8,2,8,1,10,7,7,5.4,1.37,1.111,0.889,0.704
경헌호,2011,LG,25,7,4,0,0,1,1,3,2,2.57,0.57,0.111,0,0.6
고든,2011,SK,278,75.667,68,3,20,4,70,34,32,3.81,1.16,7.778,2.222,0.683
고든,2012,삼성,500,128,144,10,38,2,80,61,56,3.94,1.42,8.889,4.222,0.753
고우석,2011,KIA,3,1.333,0,0,2,0,2,0,0,0,1.5,0.222,0.222,1
고우석,2012,KIA,28,6.667,9,0,5,0,9,4,4,5.4,2.1,1,0.556,0.714
고원준,2010,넥센,483,131,123,15,61,12,87,64,60,4.12,1.4,9.667,6.778,0.777
고원준,2011,롯데,580,152.667,163,15,59,6,85,77,71,4.19,1.45,9.444,6.556,0.758
고원준,2012,롯데,372,95.333,109,7,43,11,45,52,45,4.25,1.59,5,4.778,0.77
고원준,2013,롯데,200,51.333,64,4,22,3,26,37,32,5.61,1.68,2.889,2.444,0.683
고창성,2010,두산,300,82,68,7,16,11,67,37,33,3.62,1.02,7.444,1.778,0.728
고창성,2011,두산,187,50.667,50,4,24,7,40,27,25,4.44,1.46,4.444,2.667,0.743
고창성,2012,두산,62,15.667,22,2,7,3,5,15,15,8.62,1.85,0.556,0.778,0.582
고창성,2013,NC,86,20.667,27,0,12,5,13,12,11,4.79,1.89,1.444,1.333,0.75
고창성,2014,NC,96,25,25,1,7,3,11,9,5,1.8,1.28,1.222,0.778,0.893
고효준,2010,SK,403,106.667,106,16,61,5,101,68,61,5.15,1.57,11.222,6.778,0.742
고효준,2011,SK,373,105.667,87,4,69,6,89,55,50,4.26,1.48,9.889,7.667,0.716
고효준,2014,SK,207,51,67,11,38,5,40,57,52,9.18,2.06,4.444,4.222,0.613
곤잘레,2010,LG,176,43.333,49,4,21,5,23,40,37,7.68,1.62,2.556,2.333,0.548
곽동훈,2011,삼성,7,1.333,3,1,0,0,0,3,3,20.25,2.25,0,0,0
곽정철,2010,KIA,224,58,62,6,24,3,70,38,36,5.59,1.48,7.778,2.667,0.658
곽정철,2011,KIA,81,20.667,21,4,11,2,27,12,11,4.79,1.55,3,1.222,0.81
구대성,2010,한화,22,4.667,7,2,3,0,3,6,5,9.64,2.14,0.333,0.333,0.694
구본범,2014,한화,18,3.667,8,1,0,0,2,5,5,12.27,2.18,0.222,0,0.455
구승민,2014,롯데,1,0.667,0,0,0,0,1,0,0,0,0,0.111,0,NA
구자운,2010,삼성,10,3,1,0,3,0,3,2,2,6,1.33,0.333,0.333,0.5
권오준,2011,삼성,187,48.333,48,2,10,2,52,17,15,2.79,1.2,5.778,1.111,0.787
권오준,2012,삼성,155,42.667,32,2,13,0,48,15,14,2.95,1.05,5.333,1.444,0.735
권오준,2014,삼성,5,1,3,0,0,0,0,2,2,18,3,0,0,0.333
권혁,2010,삼성,254,73.333,54,6,19,2,73,18,17,2.09,1,8.111,2.111,0.871
권혁,2011,삼성,173,48.333,38,2,22,2,27,19,15,2.79,1.24,3,2.444,0.794
권혁,2012,삼성,182,49.333,48,2,20,1,38,18,17,3.1,1.38,4.222,2.222,0.785
권혁,2013,삼성,141,36.333,35,5,16,1,41,17,16,3.96,1.4,4.556,1.778,0.8
권혁,2014,삼성,125,34.667,27,4,11,0,38,13,11,2.86,1.1,4.222,1.222,0.833
글로버,2010,SK,405,105,113,18,50,5,85,71,66,5.66,1.55,9.444,5.556,0.714
글로버,2011,SK,454,121,115,11,41,9,122,65,57,4.24,1.29,13.556,4.556,0.722
금민철,2010,넥센,435,120.667,118,10,71,15,86,63,59,4.4,1.57,9.556,7.889,0.763
금민철,2011,넥센,116,32.333,31,3,31,4,16,28,19,5.29,1.92,1.778,3.444,0.761
금민철,2014,넥센,166,41.667,51,4,30,7,24,35,28,6.05,1.94,2.667,3.333,0.728
김강률,2011,두산,100,25.333,30,2,13,1,20,11,11,3.91,1.7,2.222,1.444,0.801
김강률,2012,두산,121,34.333,28,1,17,2,27,11,11,2.88,1.31,3,1.889,0.789
김강률,2013,두산,74,19.667,18,1,17,0,17,8,7,3.2,1.78,1.889,1.889,0.833
김강률,2014,두산,71,16.667,25,5,7,0,13,16,15,8.1,1.92,1.444,0.778,0.68
김건한,2010,KIA,310,77,87,5,34,7,61,53,45,5.26,1.57,6.778,3.778,0.686
김건한,2011,KIA,247,67.333,67,5,30,9,42,39,38,5.08,1.44,4.667,3.333,0.687
김건한,2012,삼성,137,34,41,2,15,3,27,23,20,5.29,1.65,3,1.667,0.694
김건한,2013,삼성,72,14.333,31,1,11,0,12,20,20,12.56,2.93,1.333,1.222,0.542
김건한,2014,삼성,147,36.333,42,2,9,8,23,27,22,5.45,1.4,2.556,1,0.658
김경태,2011,한화,3,1,0,0,0,0,3,0,0,0,0,0.333,0,NA
김경태,2012,한화,6,1.667,1,0,3,0,0,1,1,5.4,2.4,0,0.333,0.75
김경태,2013,한화,84,23.333,21,1,21,5,15,20,17,6.56,1.8,1.667,2.333,0.658
김광삼,2010,LG,423,111,125,10,50,14,60,74,70,5.68,1.58,6.667,5.556,0.68
김광삼,2011,LG,361,93,108,8,41,4,41,58,49,4.74,1.6,4.556,4.556,0.733
김광삼,2012,LG,405,104.333,114,3,38,9,46,63,57,4.92,1.46,5.111,4.222,0.663
김광수,2010,LG,296,76.667,90,5,31,5,71,33,29,3.4,1.58,7.889,3.444,0.815
김광수,2011,한화,154,37.667,53,3,24,2,24,20,20,4.78,2.04,2.667,2.667,0.789
김광수,2012,한화,74,15.667,30,2,5,1,11,15,14,8.04,2.23,1.222,0.556,0.663
김광수,2013,한화,262,67.667,75,3,16,6,41,45,43,5.72,1.34,4.556,1.778,0.582
김광수,2014,한화,3,0,3,1,0,0,0,3,3,NA,NA,0,0,0
김광현,2010,SK,693,193.667,153,13,84,5,183,56,51,2.37,1.22,20.333,9.333,0.853
김광현,2011,SK,277,74.333,70,6,45,2,61,45,40,4.84,1.55,6.778,5,0.709
김광현,2012,SK,296,81.667,85,9,36,2,65,44,39,4.3,1.48,7.222,4,0.761
김광현,2013,SK,494,133,128,12,68,4,102,72,66,4.47,1.47,11.333,7.556,0.731
김광현,2014,SK,650,173.667,178,10,81,3,145,77,66,3.42,1.49,16.111,9,0.79
김기태,2012,삼성,23,5,8,0,1,0,2,4,4,7.2,1.8,0.222,0.111,0.556
김기태,2013,삼성,18,4.333,5,0,5,0,2,5,4,8.31,2.31,0.222,0.556,0.6
김기태,2014,삼성,39,8.667,13,2,1,0,8,7,7,7.27,1.62,0.889,0.111,0.625
김기표,2010,LG,156,42.667,41,2,13,8,24,21,21,4.43,1.27,2.667,1.444,0.693
김기표,2011,LG,25,5,11,1,1,0,2,7,7,12.6,2.4,0.222,0.111,0.472
김기표,2012,LG,101,26.667,27,2,7,3,13,10,9,3.04,1.28,1.444,0.778,0.819
김기표,2013,LG,14,3.333,3,0,0,0,1,0,0,0,0.9,0.111,0,1
김기표,2014,LG,9,2,2,2,0,1,1,3,3,13.5,1,0.111,0,0
