team,name,id,pos,salary
두산,강동연,61295,p,2800
두산,고봉찬,65259,o,2700
두산,고영민,72214,i,7500
두산,구명환,74244,o,2000
두산,국해성,79290,o,2800
두산,김강,77733,i,3000
두산,김강률,77263,p,5600
두산,김경도,64728,o,2700
두산,김경호,64260,o,2700
두산,김명성,61527,p,3400
두산,김민혁,65269,i,2700
두산,김상훈,60265,p,2700
두산,김수완,78550,p,5200
두산,김응민,60288,c,2800
두산,김재호,74206,i,16700
두산,김재환,78224,i,4000
두산,김종원,64294,i,2700
두산,김진형,79234,o,3000
두산,김현수,76290,o,75000
두산,남경호,65264,p,2700
두산,남궁훈,76955,p,NA
두산,노경은,73211,p,23000
두산,니퍼트,61240,p,165000
두산,로메로,65233,i,11000
두산,루츠,65203,i,60500
두산,류지혁,62234,i,2800
두산,마야,64219,p,66000
두산,문진제,64288,i,2700
두산,민병헌,76249,o,28000
두산,박건우,79215,o,3500
두산,박기민,61564,i,2700
두산,박성민,65206,p,2700
두산,박원빈,65208,i,2700
두산,박종기,63292,p,2700
두산,박종욱,65204,c,2700
두산,방건우,65247,p,2700
두산,변진수,62263,p,7300
두산,사공엽,65209,o,2700
두산,서두원,63290,p,2700
두산,성영훈,79222,p,2700
두산,스와잭,65219,p,38500
두산,신민재,65207,i,2700
두산,양의지,76232,c,20000
두산,양종민,79530,i,2800
두산,양현,61268,p,2700
두산,오장훈,79544,i,2900
두산,오재원,77248,i,40000
두산,오재일,75334,i,7300
두산,오현택,79293,p,11000
두산,유민상,62265,i,2800
두산,유창준,63295,p,2800
두산,유희관,79229,p,20000
두산,윤기백,64205,p,2700
두산,윤명준,62242,p,10700
두산,윤태수,71252,o,2200
두산,이용호,77253,p,2700
두산,이원재,77229,p,2800
두산,이재우,71260,p,10000
두산,이정호,61262,p,2900
두산,이현승,76329,p,15500
두산,이현호,61214,p,2800
두산,임태훈,77251,p,7000
두산,장민석,71347,o,10000
두산,장민익,60255,p,3000
두산,장승현,63202,c,2700
두산,장원준,74513,p,1.00E+05
두산,전용훈,64267,p,2700
두산,정수빈,79231,o,22000
두산,정은재,64202,p,2400
두산,정인석,65265,c,2700
두산,정진철,65293,i,2700
두산,정진호,61208,o,3300
두산,조승수,79235,p,2900
두산,조윤성,64187,o,2700
두산,진야곱,78257,p,2800
두산,채지선,65241,p,2700
두산,최병욱,64259,p,3000
두산,최영진,61197,i,3300
두산,최용제,64213,c,2700
두산,최재훈,78288,c,5800
두산,최주환,76267,i,8700
두산,최현진,61228,p,2700
두산,최형록,64244,i,2700
두산,한주성,64255,p,2700
두산,함덕주,63248,p,4500
