play,player,Team,score,note,year
AVG,백인천,MBC,0.412,250타수103H,1982
H,백인천,MBC,103,,1982
2B,백인천,MBC,23,,1982
3B,김경남,SMM,5,,1982
3B,구천서,OB,,,1982
3B,윤동균,OB,,,1982
HR,김봉연,HAE,22,,1982
RBI,김성한,HAE,69,,1982
R,김봉연,HAE,55,,1982
R,백인천,MBC,,,1982
WRBI,양세종,OB,9,,1982
SB,김일권,HAE,53,17SB실패,1982
SLG,백인천,MBC,0.740,,1982
OBP,백인천,MBC,0.502,,1982
W,박철순,OB,24,4패,1982
ERA,박철순,OB,1.84,224.66이닝46자책점,1982
WPCT,박철순,OB,0.857,24승4패,1982
K,노상수,LOT,141,,1982
RF,황규봉,SAM,19,11SV8RF승,1982
SV,황규봉,SAM,11,,1982
AVG,장효조,SAM,0.369,317타수117H,1983
H,박종훈,OB,117,,1983
2B,이종도,MBC,25,,1983
3B,박종훈,OB,6,,1983
HR,이만수,SAM,27,,1983
RBI,이만수,SAM,74,,1983
R,이해창,MBC,65,,1983
WRBI,이만수,SAM,13,,1983
SB,김일권,HAE,48,22SB실패,1983
SLG,장효조,SAM,0.618,,1983
OBP,장효조,SAM,0.475,,1983
W,장명부,SMM,30,16패,1983
ERA,하기룡,MBC,2.33,173.66이닝45자책점,1983
WPCT,이길환,MBC,0.682,15승7패,1983
K,장명부,SMM,220,,1983
RF,황태환,OB,20,14SV6RF승,1983
SV,황태환,OB,14,,1983
AVG,이만수,SAM,0.340,300타수102H,1984
H,홍문종,LOT,122,,1984
2B,홍문종,LOT,25,,1984
3B,김인식,MBC,8,,1984
HR,이만수,SAM,23,,1984
RBI,이만수,SAM,80,,1984
R,이해창,MBC,62,,1984
R,홍문종,LOT,,,1984
WRBI,김용철,LOT,11,,1984
WRBI,이광은,MBC,,,1984
SB,김일권,HAE,41,12SB실패,1984
SLG,이만수,SAM,0.633,,1984
OBP,장효조,SAM,0.424,,1984
W,최동원,LOT,27,13패,1984
ERA,장호연,OB,1.58,102.33이닝18자책점,1984
WPCT,황규봉,SAM,0.833,10승2패,1984
K,최동원,LOT,223,,1984
RF,윤석환,OB,35,25SV10RF승,1984
SV,윤석환,OB,25,,1984
AVG,장효조,SAM,0.373,346타수129H,1985
H,김성한,HAE,133,,1985
2B,김성한,HAE,29,,1985
3B,허규옥,SAM,7,,1985
HR,김성한,HAE,22,,1985
HR,이만수,SAM,,,1985
RBI,이만수,SAM,87,,1985
R,이순철,HAE,67,,1985
WRBI,이만수,SAM,13,,1985
SB,김재박,MBC,50,17SB실패,1985
SLG,김성한,HAE,0.575,,1985
OBP,장효조,SAM,0.467,,1985
W,김시진,SAM,25,5패,1985
W,김일융,SAM,,6패,1985
ERA,선동열,HAE,1.70,111이닝21자책점,1985
WPCT,김시진,SAM,0.833,25승5패,1985
WPCT,윤석환,OB,,5승1패,1985
K,김시진,SAM,201,,1985
RF,권영호,SAM,28,26SV2RF승,1985
SV,권영호,SAM,26,,1985
AVG,장효조,SAM,0.329,304타수100H,1986
H,이광은,MBC,124,,1986
2B,김용철,LOT,26,,1986
3B,김상훈,MBC,8,,1986
HR,김봉연,HAE,21,,1986
RBI,김봉연,HAE,67,,1986
R,김재박,MBC,67,,1986
WRBI,한대화,HAE,16,,1986
SB,서정환,HAE,43,23SB실패,1986
SLG,김봉연,HAE,0.514,,1986
OBP,장효조,SAM,0.436,,1986
W,선동열,HAE,24,6패,1986
ERA,선동열,HAE,0.99,262.66이닝29자책점,1986
WPCT,최일언,OB,0.826,19승4패,1986
K,선동열,HAE,214,,1986
RF,김용수,MBC,35,26SV9RF승,1986
SV,김용수,MBC,26,,1986
AVG,장효조,SAM,0.387,284타수110H,1987
H,이정훈,BIN,124,,1987
2B,김용철,LOT,32,,1987
3B,박흥식,MBC,9,,1987
HR,김성래,SAM,22,,1987
RBI,이만수,SAM,76,,1987
R,이광은,MBC,66,,1987
WRBI,김형석,OB,11,,1987
SB,이해창,청보,54,19SB실패,1987
SLG,이만수,SAM,0.579,,1987
OBP,장효조,SAM,0.461,,1987
W,김시진,SAM,23승,6패,1987
ERA,선동열,HAE,0.89,162이닝16자책점,1987
WPCT,선동열,HAE,0.875,14승2패,1987
K,최동원,LOT,163,,1987
RF,김용수,MBC,33,24SV9RF승,1987
SV,김용수,MBC,24,,1987
AVG,김상훈,MBC,0.354,305타수108H,1988
H,김성한,HAE,131,,1988
2B,이순철,HAE,26,,1988
2B,이강돈,BIN,,,1988
3B,김일권,TPY,5,,1988
3B,윤덕규,MBC,,,1988
HR,김성한,HAE,30,,1988
RBI,김성한,HAE,89,,1988
R,이순철,HAE,81,,1988
WRBI,김성한,HAE,17,,1988
SB,이순철,HAE,58,20SB실패,1988
SLG,김성한,HAE,0.577,,1988
OBP,김성래,SAM,0.459,,1988
W,윤학길,LOT,18승,10패,1988
ERA,선동열,HAE,1.21,178.33이닝24자책점,1988
WPCT,윤석환,OB,0.813,13승3패,1988
K,선동열,HAE,200,,1988
RF,윤석환,OB,27,14SV13RF승,1988
SV,이상군,BIN,16,,1988
AVG,고원부,BIN,0.327,342타수112H,1989
H,이강돈,BIN,137,,1989
2B,김동기,TPY,25,,1989
2B,신경식,OB,,,1989
3B,노찬엽,MBC,6,,1989
3B,신경식,OB,,,1989
3B,이중화,BIN,,,1989
HR,김성한,HAE,26,,1989
RBI,유승안,BIN,85,,1989
R,김성한,HAE,93,,1989
WRBI,김성한,HAE,15,,1989
SB,김일권,TPY,62,22SB실패,1989
SLG,김성한,HAE,0.512,,1989
OBP,한대화,HAE,0.409,,1989
W,선동열,HAE,21,3패,1989
ERA,선동열,HAE,1.17,169이닝22자책점,1989
WPCT,선동열,HAE,0.875,21승3패,1989
K,선동열,HAE,198,,1989
RF,김용수,MBC,26,22SV4RF승,1989
SV,김용수,MBC,22,,1989
AVG,한대화,HAE,0.335,418타수140H,1990
H,이강돈,BIN,146,,1990
2B,김경기,TPY,29,,1990
3B,윤덕규,LG,8,,1990
HR,장종훈,BIN,28,,1990
RBI,장종훈,BIN,91,,1990
R,이강돈,BIN,81,,1990
SB,김일권,TPY,48,20SB실패,1990
SLG,장종훈,BIN,0.545,,1990
OBP,한대화,HAE,0.432,,1990
