,Year,Coach,Rank,G,W,L,D,WR,AB,R,H,HR,SB,SH,SF,BB,HB,SO,AVG,CG,SHO,IP,HA,HRA,BBA,HBA,K,AR,ER,ERA,E,FA
SAM,1982,¼­¿µ¹«,2,80,54,26,0,0.675,2649,434,705,57,147,36,18,307,30,349,0.266,23,10,704.33,618,57,187,30,305,257,211,2.7,81,0.975
SAM,1983,¼­¿µ¹«,4,100,46,50,4,0.479,3383,448,889,90,69,66,27,314,55,427,0.263,34,10,899.33,833,65,335,58,399,418,342,3.42,99,0.975
SAM,1984,±è¿µ´ö,2,100,55,45,0,0.550,3298,435,889,78,74,62,18,313,63,422,0.27,30,9,886.66,806,48,380,44,476,379,330,3.35,64,0.985
SAM,1985,±è¿µ´ö,1,110,77,32,1,0.706,3644,552,1005,97,116,93,42,402,60,456,0.276,27,15,1001.33,871,62,368,34,496,379,331,2.98,81,0.982
SAM,1986,±è¿µ´ö,2,108,70,37,1,0.654,3617,475,997,74,110,68,31,354,48,465,0.276,34,9,966,848,62,385,29,388,369,317,2.95,80,0.982
SAM,1987,¹Ú¿µ±æ,2,108,64,44,0,0.593,3731,583,1120,105,101,26,40,380,40,448,0.3,26,12,959,926,62,416,45,360,427,381,3.58,78,0.982
SAM,1988,¹Ú¿µ±æ,4,108,56,50,2,0.528,3692,516,1028,85,110,53,24,381,42,493,0.278,22,12,967,953,80,403,40,341,492,449,4.18,76,0.982
SAM,1989,Á¤µ¿Áø,4,120,57,58,5,0.496,4024,580,1094,96,159,56,47,397,45,616,0.272,26,8,1068,1094,84,516,44,469,588,524,4.42,116,0.975
SAM,1990,Á¤µ¿Áø,2,120,66,52,2,0.558,3961,597,1040,131,108,68,31,434,52,532,0.263,20,7,1069.33,1053,102,512,53,475,558,491,4.13,97,0.979
SAM,1991,±è¼º±Ù,3,126,70,55,1,0.560,4182,639,1138,108,126,85,37,510,59,546,0.272,14,7,1128.66,1131,108,484,40,527,579,531,4.23,99,0.98
SAM,1992,±è¼º±Ù,4,126,67,57,2,0.540,4250,633,1128,124,127,58,44,494,73,620,0.265,23,10,1125.66,1085,102,636,52,640,636,569,4.55,122,0.976
SAM,1993,¿ì¿ëµæ,2,126,73,48,5,0.599,4260,615,1154,133,102,54,39,463,68,623,0.271,28,16,1137,991,72,457,50,683,433,373,2.95,97,0.981
SAM,1994,¿ì¿ëµæ,5,126,60,64,2,0.484,4161,541,1081,106,120,79,39,458,64,650,0.26,25,8,1117,1021,85,413,52,657,499,431,3.47,131,0.974
SAM,1995,¿ì¿ëµæ,5,126,60,60,6,0.500,4188,558,1047,94,100,55,32,384,92,723,0.25,18,6,1116,1018,78,450,90,672,555,483,3.9,127,0.974
SAM,1996,¹éÀÎÃµ,6,126,54,67,5,0.448,4136,510,1029,88,135,56,37,423,76,807,0.249,11,7,1117.33,1085,88,527,102,654,581,525,4.23,106,0.979
SAM,1997,¹éÀÎÃµ,4,126,66,53,7,0.552,4305,722,1194,165,137,88,32,456,90,804,0.277,9,5,1131,1107,97,491,95,678,605,532,4.23,99,0.98
SAM,1998,¼­Á¤È¯,3,126,66,58,2,0.532,4263,620,1143,143,117,90,38,446,80,822,0.268,10,1,1128,1120,133,477,69,722,584,541,4.32,79,0.984
SAM,1999,¼­Á¤È¯,4,132,73,57,2,0.562,4555,748,1244,207,140,79,41,483,96,964,0.273,4,5,1195.66,1295,157,502,60,929,748,685,5.16,85,0.983
SAM,2000,±è¿ëÈñ,3,133,69,59,5,0.539,4546,744,1223,177,80,47,43,496,80,967,0.269,6,4,1184.33,1233,130,524,77,880,670,610,4.64,79,0.984
SAM,2001,±èÀÀ¿ë,2,133,81,52,0,0.609,4553,739,1262,162,73,69,42,520,95,814,0.277,7,6,1187.33,1195,132,561,61,844,644,579,4.39,79,0.984
SAM,2002,±èÀÀ¿ë,1,133,82,47,4,0.636,4648,777,1321,191,47,55,34,469,97,804,0.284,2,8,1197.66,1182,148,385,74,987,581,521,3.92,87,0.983
SAM,2003,±èÀÀ¿ë,4,133,76,53,4,0.589,4564,769,1295,213,56,73,38,481,85,661,0.284,2,5,1183,1199,133,494,59,808,613,574,4.37,75,0.985
SAM,2004,±èÀÀ¿ë,2,133,73,52,8,0.584,4509,641,1215,132,50,84,31,460,86,704,0.269,4,9,1196.33,1092,118,505,85,994,564,500,3.76,88,0.983
SAM,2005,¼±µ¿¿­,1,126,74,48,4,0.607,4234,614,1134,111,97,98,34,500,109,748,0.268,2,7,1129.33,1026,109,387,79,875,528,480,3.83,86,0.982
SAM,2006,¼±µ¿¿­,1,126,73,50,3,0.593,4091,538,1043,73,121,90,42,477,79,689,0.255,1,15,1118,1030,100,365,63,781,471,414,3.33,76,0.984
SAM,2007,¼±µ¿¿­,4,126,62,60,4,0.508,4186,497,1062,86,101,95,39,511,63,678,0.254,0,11,1131.66,1091,90,400,58,719,509,466,3.71,87,0.982
SAM,2008,¼±µ¿¿­,4,126,65,61,0,0.516,4180,557,1078,92,59,70,38,505,65,699,0.258,0,6,1123.33,1184,87,416,43,703,596,549,4.4,69,0.986
SAM,2009,¼±µ¿¿­,5,133,64,69,0,0.481,4459,685,1224,146,125,67,43,584,67,789,0.275,3,2,1163.66,1226,141,609,56,905,700,644,4.98,80,0.984
SAM,2010,¼±µ¿¿­,2,133,79,52,2,0.594,4436,681,1207,118,158,111,44,621,75,916,0.272,2,7,1193.66,1168,103,453,54,951,575,523,3.94,92,0.982
SAM,2011,·ùÁßÀÏ,1,133,79,50,4,0.612,4437,625,1150,95,158,73,43,522,69,940,0.259,1,12,1196.33,1191,92,395,38,841,513,445,3.35,75,0.985
SAM,2012,·ùÁßÀÏ,1,133,80,51,2,0.611,4436,628,1205,89,125,91,47,500,86,813,0.272,3,13,1187.66,1085,65,384,37,885,473,448,3.39,67,0.987
SAM,2013,·ùÁßÀÏ,1,128,75,51,2,0.595,4370,669,1235,113,95,84,41,453,93,818,0.283,2,5,1146.66,1119,98,411,60,955,545,507,3.98,76,0.984
SAM,2014,·ùÁßÀÏ,1,128,78,47,3,0.624,4464,812,1345,161,161,76,43,507,62,743,0.301,3,6,1144,1217,120,395,61,996,621,575,4.52,77,0.984
NEX,2008,ÀÌ±¤È¯,7,126,50,76,0,0.397,4317,499,1149,70,97,51,33,396,37,713,0.266,4,10,1125.33,1159,91,465,70,729,609,554,4.43,100,0.98
NEX,2009,±è½ÃÁø,6,133,60,72,1,0.451,4486,683,1219,153,192,64,48,547,63,905,0.272,0,5,1174.33,1231,176,565,61,840,762,705,5.4,90,0.982
NEX,2010,±è½ÃÁø,7,133,52,78,3,0.391,4452,570,1165,87,135,95,43,480,68,874,0.262,1,2,1185.66,1162,122,614,95,832,652,599,4.55,93,0.982
NEX,2011,±è½ÃÁø,8,133,51,80,2,0.389,4343,512,1065,79,99,103,32,460,51,992,0.245,0,10,1171.33,1167,81,601,76,830,622,568,4.36,96,0.981
NEX,2012,±è½ÃÁø,6,133,61,69,3,0.469,4338,549,1056,102,179,92,43,476,72,892,0.243,3,6,1187.33,1131,80,535,74,853,551,505,3.83,78,0.985
