TEAM,YEAR,G,BA,AB,AB.1,R,H,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,LOB,E,OBP,SLG,FA
OB,1982,80,0.283,3098,2745,399,778,137,23,57,1132,362,106,61,46,18,247,22,41,254,35,568,98,0.351,0.412,0.971
SAM,1982,80,0.266,3043,2649,434,705,126,18,57,1038,374,147,43,36,18,307,2,30,349,51,539,81,0.349,0.392,0.975
MBC,1982,80,0.282,3061,2686,419,757,124,12,65,1100,381,134,59,32,27,268,18,47,316,56,535,105,0.357,0.41,0.967
HAE,1982,80,0.261,2990,2665,374,696,110,14,84,1086,332,155,52,28,21,235,12,41,296,59,484,102,0.33,0.408,0.968
LOT,1982,80,0.256,3062,2628,353,674,112,8,59,979,325,83,53,41,27,326,8,40,315,61,544,97,0.347,0.373,0.969
SMM,1982,80,0.24,2954,2653,302,637,117,20,40,914,272,74,43,31,19,221,3,29,369,44,505,117,0.306,0.345,0.964
HAE,1983,100,0.268,3674,3282,422,881,130,15,78,1275,387,130,90,37,23,292,16,40,372,76,620,117,0.336,0.388,0.971
MBC,1983,100,0.255,3772,3327,412,847,146,21,46,1173,371,128,67,70,31,283,8,60,370,59,643,107,0.324,0.353,0.974
SMM,1983,100,0.245,3764,3344,346,820,113,14,62,1147,315,36,43,73,18,282,16,46,412,74,695,88,0.313,0.343,0.979
SAM,1983,100,0.263,3847,3383,448,889,143,14,90,1330,421,69,42,66,27,314,9,55,427,62,698,99,0.335,0.393,0.975
OB,1983,100,0.259,3766,3330,418,863,142,26,50,1207,378,60,45,85,22,279,11,50,352,63,654,110,0.326,0.362,0.974
LOT,1983,100,0.244,3723,3291,365,803,132,18,77,1202,339,76,61,57,25,307,2,41,423,72,653,125,0.316,0.365,0.969
LOT,1984,100,0.257,3727,3265,405,840,139,20,71,1232,374,108,65,56,28,326,17,48,446,63,686,96,0.334,0.377,0.976
SAM,1984,100,0.27,3756,3298,435,889,147,18,78,1306,413,74,60,62,18,313,18,63,422,62,675,64,0.344,0.396,0.985
OB,1984,100,0.256,3662,3183,382,816,133,18,53,1144,362,111,62,62,34,339,17,43,367,66,653,82,0.336,0.359,0.98
MBC,1984,100,0.253,3753,3317,375,840,127,35,47,1178,341,99,68,47,35,314,14,40,446,62,681,85,0.325,0.355,0.979
