TEAM,YEAR,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Final,OverallRank
SAM,1982,1-0-2,9-0-3,8-0-6,8-0-2,8-0-2,11-0-4,8-0-6,1-0-1,54-0-26,2
SAM,1983,,2006-01-08,8-0-10,2007-02-08,9-0-6,6-0-10,2007-01-06,3-0-2,46-4-50,4
SAM,1984,,11-0-5,16-0-7,5-0-6,7-0-7,9-0-11,7-0-9,,55-0-45,2
SAM,1985,1-0-1,2014-01-05,16-0-5,11-0-3,10-0-9,15-0-7,10-0-2,,77-1-32,1
SAM,1986,2-0-0,13-0-7,13-0-8,12-0-3,2009-01-06,13-0-8,8-0-5,,70-1-37,2
SAM,1987,,13-0-5,10-0-9,10-0-4,6-0-5,11-0-6,13-0-11,1-0-4,64-0-44,2
SAM,1988,,,12-0-8,2010-01-14,2003-01-09,12-0-4,14-0-11,5-0-4,56-2-50,4
SAM,1989,,2009-01-05,10-0-10,2012-01-06,2003-01-11,2008-02-11,12-0-10,3-0-5,57-5-58,4
SAM,1990,,7-0-9,11-0-10,11-0-6,2015-02-06,12-0-12,10-0-9,,66-2-52,2
SAM,1991,,12-0-8,14-0-12,7-0-11,16-0-7,2015-01-11,6-0-6,,70-1-55,3
SAM,1992,,2010-01-10,14-0-12,9-0-9,2012-01-11,15-0-9,7-0-6,,67-2-57,4
SAM,1993,,2011-01-06,2008-01-14,2014-01-09,2011-01-09,2014-01-03,15-0-7,,73-5-48,2
SAM,1994,,2010-01-07,11-0-14,12-0-10,9-0-11,2012-01-12,6-0-10,,60-2-64,5
SAM,1995,,3-0-11,2016-02-08,2009-02-14,2012-01-05,2012-01-12,8-0-10,,60-6-60,5
SAM,1996,,7-0-6,2015-02-11,2009-01-15,7-0-12,2011-02-14,5-0-9,,54-5-67,6
SAM,1997,,2006-01-09,2014-01-08,2014-02-05,2008-01-10,2014-01-12,2010-01-09,,66-7-53,4
SAM,1998,,10-0-6,11-0-13,2014-01-09,2012-01-09,12-0-13,5-0-8,2-0-0,66-2-58,3
SAM,1999,,2012-01-09,2014-01-11,14-0-13,11-0-11,14-0-9,7-0-2,1-0-2,73-2-57,4
SAM,2000,,14-0-7,13-0-13,2009-02-12,2015-01-04,2011-02-10,4-0-5,3-0-8,69-5-59,3
SAM,2001,,13-0-9,16-0-11,19-0-6,9-0-6,12-0-6,11-0-14,1-0-0,81-0-52,2
SAM,2002,,12-0-9,17-0-9,11-0-9,2011-01-08,2008-03-05,16-0-3,7-0-4,82-4-47,1
SAM,2003,,2014-01-04,2013-01-11,16-0-7,10-0-4,11-0-14,2012-02-11,0-0-2,76-4-53,4
SAM,2004,,2012-02-10,2010-01-12,2014-03-06,11-0-8,14-0-6,2010-02-09,2-0-1,73-8-52,2
SAM,2005,,15-0-8,19-0-6,2009-01-14,2012-01-07,2010-02-06,9-0-7,,74-4-48,1
SAM,2006,,2010-01-07,14-0-9,2014-01-06,2008-01-05,14-0-11,11-0-12,2-0-0,73-3-50,1
SAM,2007,,2010-01-09,2009-02-12,13-0-11,11-0-10,12-0-7,2005-01-08,2-0-3,62-4-60,4
SAM,2008,2-0-0,12-0-13,15-0-11,8-0-15,13-0-10,3-0-3,11-0-8,1-0-1,65-0-61,4
SAM,2009,,11-0-11,12-0-15,11-0-13,13-0-7,10-0-14,7-0-9,,64-0-69,5
SAM,2010,2-0-2,13-0-10,13-0-10,2013-01-12,18-0-3,13-0-8,2007-01-07,,79-2-52,2
SAM,2011,,13-0-10,2012-02-10,15-0-7,10-0-7,14-0-9,2013-01-05,2002-01-02,79-4-50,1
SAM,2012,,7-0-10,2014-01-11,2015-01-09,14-0-3,12-0-10,13-0-7,5-0-1,80-2-51,1
SAM,2013,0-0-2,13-0-6,15-0-7,2010-02-08,12-0-6,11-0-12,12-0-9,2-0-1,75-2-51,1
SAM,2014,1-0-1,10-0-9,2019-01-04,2014-01-07,13-0-7,10-0-9,2005-01-03,6-0-7,78-3-47,1
