,Team,G,ERA,CG,SHO,W,L,SV,IP,PIT,BF,AB,HA,HRA,SH,SF,BBA,IBBA,HB,K,WP,BK,AR,ER
1982,OB,80,3.2,32,5,56,24,10,725.33,10996,3020,2642,625,41,33,21,289,4,33,317,14,6,318,258
1982,SAM,80,2.7,23,10,54,26,18,704.33,10137,2830,2566,618,57,38,9,187,6,30,305,10,3,257,211
1982,MBC,80,3.51,19,9,46,34,15,708,10932,2994,2640,660,52,24,24,259,10,47,392,27,10,359,276
1982,HAE,80,3.79,24,4,38,42,3,708,11156,3067,2662,698,50,42,28,295,5,39,348,17,8,388,298
1982,LOT,80,3.95,26,4,31,49,4,713.66,11470,3080,2743,763,69,33,13,261,29,29,362,14,9,385,313
1982,SMM,80,6.23,7,0,15,65,5,692,11255,3217,2773,883,93,44,35,313,11,50,175,22,7,574,479
1982,Total,240,3.88,131,32,120,120,55,4251.33,65946,18208,16026,4247,362,214,130,1604,65,228,1899,104,43,2281,1835
1983,HAE,100,3.17,27,11,55,44,14,883.66,13364,3707,3296,803,56,53,24,286,6,45,456,13,2,390,311
1983,MBC,100,2.71,31,11,55,43,17,908.66,13440,3725,3280,787,45,75,27,298,11,44,366,18,9,335,274
1983,SMM,100,3.04,56,8,52,47,8,909,12932,3713,3338,848,66,65,11,263,8,36,392,13,5,372,307
1983,SAM,100,3.42,34,10,46,50,12,899.33,13901,3785,3288,833,65,67,36,335,15,58,399,17,3,418,342
1983,OB,100,3.52,27,11,44,55,18,892.33,13510,3789,3316,897,81,69,27,315,10,62,329,17,8,432,349
1983,LOT,100,3.79,29,5,43,56,7,897.66,13804,3827,3439,935,90,59,21,260,12,47,414,17,6,464,378
1983,Total,300,3.27,204,56,295,295,76,5390.66,80951,22546,19957,5103,403,388,146,1757,62,292,2356,95,33,2411,1961
1984,LOT,100,3.31,26,3,50,48,11,880.66,13554,3723,3301,865,75,55,25,300,8,40,453,12,2,390,324
1984,SAM,100,3.35,30,9,55,45,13,886.66,13936,3740,3227,806,48,69,20,380,23,44,476,22,4,379,330
1984,OB,100,2.53,14,12,58,41,31,885.33,13484,3601,3156,720,51,47,22,331,12,44,445,22,2,298,249
1984,MBC,100,3.18,38,7,51,48,10,897,13317,3741,3333,876,59,67,22,275,8,43,355,15,2,374,317
1984,HAE,100,3.16,26,8,43,54,12,896.33,13407,3749,3344,833,67,58,25,279,20,40,459,19,0,398,315
1984,SMM,100,4.05,24,4,38,59,18,899.33,14270,3845,3342,895,83,45,34,372,14,50,461,14,6,461,405
1984,Total,300,3.27,158,43,295,295,95,5345.33,81968,22399,19703,4995,383,341,148,1937,85,261,2649,104,16,2300,1940
1985,SAM,110,2.98,27,15,77,32,41,1001.33,15235,4121,3640,871,62,63,15,368,18,34,496,22,5,379,331
1985,LOT,110,3.05,32,15,59,51,15,992.33,14906,4131,3654,936,60,75,31,324,6,44,513,21,3,420,336
1985,HAE,110,3.64,11,7,57,52,20,988.66,15140,4146,3699,979,83,70,29,296,19,51,450,16,2,465,400
1985,OB,110,3.14,25,5,51,57,13,993,15306,4112,3570,882,64,77,38,386,5,40,433,20,3,416,346
1985,MBC,110,3.24,27,7,44,65,13,982,15023,4124,3565,902,63,90,39,385,12,44,353,26,5,408,354
1985,CHE,110,4.87,37,5,39,70,15,978.33,15641,4359,3763,1130,118,98,38,399,13,60,393,33,6,607,529
1985,Total,330,3.48,159,54,327,327,117,5935.66,91251,24993,21891,5700,450,473,190,2158,73,273,2638,138,24,2695,2296
1986,HAE,108,2.86,28,16,67,37,23,982.66,14562,4058,3596,857,41,77,16,334,12,34,531,10,6,372,312
1986,SAM,108,2.95,34,9,70,37,33,966,14534,4012,3502,848,62,74,22,385,20,29,388,20,4,369,317
1986,MBC,108,2.79,11,15,59,41,30,984.33,14507,4038,3556,880,45,79,29,341,17,32,415,17,5,361,305
1986,OB,108,2.61,29,17,56,48,19,975.66,14529,4003,3462,820,43,96,26,390,7,29,394,20,4,341,283
1986,LOT,108,2.74,33,6,50,52,11,983.66,14758,4097,3604,896,48,95,23,325,10,49,520,19,2,360,299
1986,CHE,108,3.99,23,6,32,74,10,962.33,15158,4163,3616,1001,68,101,30,356,15,57,408,17,5,506,427
1986,BIN,108,3.65,42,8,31,76,3,956,14263,3993,3543,932,90,85,30,284,5,47,407,15,5,467,388
1986,Total,378,3.08,200,77,365,365,129,6810.66,102311,28364,24879,6234,397,607,176,2415,86,277,3063,118,31,2776,2331
1987,HAE,108,3.16,26,15,55,48,14,982,15073,4050,3542,864,52,76,28,372,11,32,494,12,3,401,345
