Year,Team,G,W,L,D,WPCT,BEH
1982,OB,80,56,24,0,0.7,-
1982,SAM,80,54,26,0,0.675,2
1982,MBC,80,46,34,0,0.575,10
1982,HAE,80,38,42,0,0.475,18
1982,LOT,80,31,49,0,0.388,25
1982,SMM,80,15,65,0,0.188,41
1983,HAE,100,55,44,1,0.556,-
1983,MBC,100,55,43,2,0.561,-0.5
1983,SMM,100,52,47,1,0.525,3
1983,SAM,100,46,50,4,0.479,7.5
1983,OB,100,44,55,1,0.444,11
1983,LOT,100,43,56,1,0.434,12
1984,LOT,100,50,48,2,0.51,-
1984,SAM,100,55,45,0,0.55,-4
1984,OB,100,58,41,1,0.586,-7.5
1984,MBC,100,51,48,1,0.515,-0.5
1984,HAE,100,43,54,3,0.443,6.5
1984,SMM,100,38,59,3,0.392,11.5
1985,SAM,110,77,32,1,0.706,-
1985,LOT,110,59,51,0,0.536,18.5
1985,HAE,110,57,52,1,0.523,20
1985,OB,110,51,57,2,0.472,25.5
1985,MBC,110,44,65,1,0.404,33
1985,CHE,110,39,70,1,0.358,38
1986,HAE,108,67,37,4,0.644,-
1986,SAM,108,70,37,1,0.654,-1.5
1986,MBC,108,59,41,8,0.59,6
1986,OB,108,56,48,4,0.538,11
1986,LOT,108,50,52,6,0.49,16
1986,CHE,108,32,74,2,0.302,36
1986,BIN,108,31,76,1,0.29,37.5
1987,HAE,108,55,48,5,0.532,-
1987,SAM,108,64,44,0,0.593,-6.5
1987,LOT,108,54,49,5,0.523,1
1987,OB,108,55,52,1,0.514,2
1987,MBC,108,50,51,7,0.495,4
1987,BIN,108,47,57,4,0.454,8.5
1987,CHE,108,41,65,2,0.389,15.5
1988,HAE,108,68,38,2,0.639,-
1988,BIN,108,62,45,1,0.579,6.5
1988,LOT,108,57,49,2,0.537,11
1988,SAM,108,56,50,2,0.528,12
1988,OB,108,54,52,2,0.509,14
1988,MBC,108,40,64,4,0.389,27
1988,TPY,108,34,73,1,0.319,34.5
1989,HAE,120,65,51,4,0.558,-
1989,BIN,120,71,46,3,0.604,-5.5
1989,TPY,120,62,54,4,0.533,3
1989,SAM,120,57,58,5,0.496,7.5
1989,OB,120,54,63,3,0.463,11.5
1989,MBC,120,49,67,4,0.425,16
1989,LOT,120,48,67,5,0.421,16.5
1990,HAE,120,65,51,4,0.558,-
1990,BIN,120,71,46,3,0.604,-5.5
1990,TPY,120,62,54,4,0.533,3
1990,SAM,120,57,58,5,0.496,7.5
1990,OB,120,54,63,3,0.463,11.5
1990,MBC,120,49,67,4,0.425,16
1990,LOT,120,48,67,5,0.421,16.5
1991,HAE,126,79,42,5,0.647,-
1991,BIN,126,72,49,5,0.591,7
1991,SAM,126,70,55,1,0.56,11
1991,LOT,126,61,62,3,0.496,19
1991,TPY,126,55,69,2,0.444,25.5
1991,LG,126,53,72,1,0.425,28
1991,SSB,126,52,71,3,0.425,28
