Year,Team,STADIUM,G,BF,AB,IP,HA,HRA,SH,SF,BBBA,K,AR,ER,ERA,AB,R,H,2B,3B,HR,RBI,SB,CS,SH,SF,BBB,SO,GIDP,E,AVG
1987,HAE,DG,9,349,296,78,80,8,1,4,48,56,46,46,5.31,307,43,81,14,2,11,42,13,5,8,3,52,32,5,4,0.264
1987,HAE,DJ,9,318,280,770.66,74,6,7,0,31,31,31,27,3.13,303,41,82,15,0,9,38,5,7,5,4,28,28,12,6,0.271
1987,HAE,MU,54,2073,1828,509,435,28,39,17,189,255,200,165,2.92,1770,161,417,63,2,37,150,41,19,31,7,175,176,38,47,0.236
1987,HAE,SJ,9,346,303,840.66,70,2,8,2,33,49,33,27,2.87,323,34,78,15,2,2,33,10,2,5,2,36,47,9,7,0.241
1987,HAE,IC,9,324,282,79,69,4,11,1,30,53,24,22,2.51,303,43,86,16,1,7,41,4,3,8,4,28,31,10,8,0.284
1987,HAE,JS,18,640,553,1530.66,136,4,10,4,73,50,67,58,3.4,603,71,166,28,5,5,64,17,8,11,6,60,65,22,12,0.275
1987,SAM,DG,54,2081,1802,490,495,42,39,11,228,185,220,206,3.78,1827,298,568,91,7,63,286,42,24,12,20,203,210,39,37,0.311
1987,SAM,DJ,9,332,285,780.33,83,5,11,4,32,28,39,33,3.79,326,46,100,12,0,12,44,6,7,2,3,28,35,6,10,0.307
1987,SAM,MU,9,322,270,76,57,5,5,0,47,33,33,29,3.43,303,44,76,8,1,10,39,7,3,4,2,49,56,7,6,0.251
1987,SAM,SJ,9,358,298,780.33,84,2,9,0,51,21,42,38,4.37,322,56,93,12,5,6,52,10,3,1,3,29,41,9,7,0.289
1987,SAM,IC,9,330,278,770.66,61,6,6,2,44,37,42,31,3.59,333,67,113,21,6,7,60,22,2,1,6,30,30,8,8,0.339
1987,SAM,JS,18,655,581,1580.66,146,2,12,3,59,56,51,44,2.5,620,72,170,20,10,7,67,14,12,6,6,81,76,19,10,0.274
1987,LOT,DG,9,335,301,75,98,8,3,3,28,39,45,45,5.4,301,28,94,11,0,4,28,4,5,7,1,33,22,16,4,0.312
1987,LOT,DJ,9,336,300,81,87,5,9,1,26,35,34,31,3.44,310,35,86,10,0,4,32,8,5,7,2,37,21,15,8,0.277
1987,LOT,MU,9,329,302,820.33,75,6,4,1,22,39,25,22,2.4,322,34,78,18,0,4,31,7,4,8,1,30,20,7,8,0.242
1987,LOT,SJ,54,2098,1858,499,476,13,30,10,199,280,207,185,3.34,1768,217,463,67,19,16,201,67,21,39,9,207,189,40,41,0.262
1987,LOT,IC,9,331,291,81,66,7,3,1,36,45,34,28,3.11,321,61,104,28,2,9,59,9,6,10,3,40,26,3,5,0.324
1987,LOT,JS,18,668,590,1570.33,169,1,19,4,54,66,59,53,3.03,603,57,145,27,6,3,49,4,9,15,4,77,52,21,11,0.24
1987,OB,DG,9,343,306,75,102,15,1,2,34,28,64,61,7.32,309,44,91,10,3,6,41,5,4,3,3,29,33,13,3,0.294
1987,OB,DJ,9,323,285,77,76,4,8,1,29,30,31,25,2.92,301,36,73,15,4,6,35,4,2,6,5,19,24,1,8,0.243
1987,OB,MU,9,330,290,850.66,55,1,10,0,30,33,13,12,1.26,319,29,76,11,1,1,25,9,3,5,5,33,45,5,4,0.238
1987,OB,SJ,9,319,276,76,74,3,6,0,37,25,33,30,3.55,291,32,66,6,1,1,29,6,4,4,0,34,48,6,4,0.227
1987,OB,IC,9,353,305,79,87,3,4,3,41,43,47,38,4.33,313,43,86,15,1,8,42,6,4,9,1,33,32,7,7,0.275
